z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
23000,22917.1,219.567082,-53.582918,3466.858464,3.466858,0.034215,0.055006,297.049331,1.4e-05,0.000261,0.044903,0.034215,0.761989
23250,23165.3,219.815273,-53.334727,3335.603904,3.335604,0.03292,0.052863,297.217171,1.4e-05,0.000272,0.043154,0.03292,0.76285
23500,23413.4,220.063444,-53.086556,3209.468083,3.209468,0.031675,0.050807,297.384903,1.4e-05,0.000283,0.041475,0.031675,0.763711
23750,23661.6,220.311596,-52.838404,3088.245574,3.088246,0.030479,0.048833,297.552527,1.4e-05,0.000295,0.039864,0.030479,0.764573
24000,23909.7,220.559729,-52.590271,2971.739426,2.971739,0.029329,0.046938,297.720044,1.4e-05,0.000307,0.038317,0.029329,0.765434
24250,24157.8,220.807842,-52.342158,2859.760802,2.859761,0.028224,0.045118,297.887453,1.4e-05,0.00032,0.036831,0.028224,0.766295
24500,24405.9,221.055936,-52.094064,2752.128644,2.752129,0.027161,0.043372,298.054755,1.4e-05,0.000333,0.035405,0.027161,0.767156
24750,24654.0,221.30401,-51.84599,2648.669333,2.648669,0.02614,0.041694,298.22195,1.4e-05,0.000347,0.034036,0.02614,0.768017
25000,24902.1,221.552065,-51.597935,2549.216385,2.549216,0.025159,0.040084,298.389039,1.4e-05,0.000361,0.032721,0.025159,0.768878
25250,25150.1,221.8001,-51.3499,2453.610141,2.45361,0.024215,0.038537,298.556021,1.4e-05,0.000376,0.031459,0.024215,0.769738
25500,25398.1,222.048116,-51.101884,2361.697488,2.361697,0.023308,0.037052,298.722896,1.5e-05,0.000392,0.030247,0.023308,0.770599
25750,25646.1,222.296113,-50.853887,2273.331576,2.273332,0.022436,0.035626,298.889665,1.5e-05,0.000408,0.029083,0.022436,0.77146
26000,25894.1,222.54409,-50.60591,2188.371559,2.188372,0.021598,0.034257,299.056328,1.5e-05,0.000424,0.027964,0.021598,0.77232
26250,26142.0,222.792048,-50.357952,2106.682341,2.106682,0.020791,0.032941,299.222886,1.5e-05,0.000442,0.026891,0.020791,0.773181
26500,26390.0,223.039986,-50.110014,2028.134338,2.028134,0.020016,0.031678,299.389337,1.5e-05,0.00046,0.025859,0.020016,0.774041
26750,26637.9,223.287905,-49.862095,1952.603242,1.952603,0.019271,0.030464,299.555683,1.5e-05,0.000479,0.024869,0.019271,0.774902
27000,26885.8,223.535804,-49.614196,1879.969803,1.87997,0.018554,0.029298,299.721924,1.5e-05,0.000498,0.023917,0.018554,0.775762
27250,27133.7,223.783684,-49.366316,1810.11962,1.81012,0.017864,0.028178,299.88806,1.5e-05,0.000518,0.023003,0.017864,0.776622
27500,27381.5,224.031545,-49.118455,1742.942933,1.742943,0.017202,0.027103,300.05409,1.5e-05,0.000539,0.022125,0.017202,0.777482
27750,27629.4,224.279386,-48.870614,1678.334433,1.678334,0.016564,0.026069,300.220016,1.5e-05,0.000561,0.021281,0.016564,0.778342
28000,27877.2,224.527208,-48.622792,1616.193078,1.616193,0.015951,0.025076,300.385837,1.5e-05,0.000584,0.02047,0.015951,0.779203
28250,28125.0,224.77501,-48.37499,1556.421912,1.556422,0.015361,0.024122,300.551554,1.5e-05,0.000608,0.019692,0.015361,0.780063
28500,28372.8,225.022793,-48.127207,1498.927897,1.498928,0.014793,0.023206,300.717166,1.5e-05,0.000632,0.018943,0.014793,0.780922
28750,28620.6,225.270557,-47.879443,1443.621749,1.443622,0.014247,0.022325,300.882674,1.5e-05,0.000658,0.018224,0.014247,0.781782
29000,28868.3,225.518301,-47.631699,1390.417785,1.390418,0.013722,0.021478,301.048079,1.5e-05,0.000684,0.017533,0.013722,0.782642
29250,29116.0,225.766026,-47.383974,1339.233772,1.339234,0.013217,0.020665,301.213379,1.5e-05,0.000712,0.016869,0.013217,0.783502
29500,29363.7,226.013731,-47.136269,1289.990783,1.289991,0.012731,0.019883,301.378576,1.5e-05,0.000741,0.016231,0.012731,0.784361
29750,29611.4,226.261417,-46.888583,1242.613064,1.242613,0.012264,0.019132,301.54367,1.5e-05,0.00077,0.015618,0.012264,0.785221
30000,29859.1,226.509084,-46.640916,1197.027901,1.197028,0.011814,0.01841,301.70866,1.5e-05,0.000801,0.015029,0.011814,0.78608
